nome_popular;nome_cientifico;nome_ingles;
ararajuba;Guaruba guarouba;Golden Parakeet;
ararinha-azul;Cyanopsitta spixii;Spix's Macaw;
aratinga-de-testa-azul;Thectocercus acuticaudatus;Blue-crowned Parakeet;
ariramba-bronzeada;Galbula leucogastra;Bronzy Jacamar;
ariramba-castanha;Galbalcyrhynchus purusianus;Purus Jacamar;
ariramba-da-capoeira;Galbula cyanescens;Bluish-fronted Jacamar;
ariramba-da-mata;Galbula cyanicollis;Blue-cheeked Jacamar;
ariramba-de-barba-branca;Galbula tombacea;White-chinned Jacamar;
ariramba-de-bico-amarelo;Galbula albirostris;Yellow-billed Jacamar;
ariramba-de-cauda-ruiva;Galbula ruficauda;Rufous-tailed Jacamar;
ariramba-de-cauda-verde;Galbula galbula;Green-tailed Jacamar;
ariramba-do-paraíso;Galbula dea;Paradise Jacamar;
ariramba-preta;Brachygalba lugubris;Brown Jacamar;
ariramba-vermelha;Galbalcyrhynchus leucotis;White-eared Jacamar;
ariramba-violácea;Galbula chalcothorax;Purplish Jacamar;
arrabio;Anas acuta;Northern Pintail;
arredio;Cranioleuca pyrrhophia;Stripe-crowned Spinetail;
arredio-de-papo-manchado;Limnoctites sulphuriferus;Sulphur-throated Spinetail;
arredio-de-peito-branco;Cranioleuca vulpecula;Parker's Spinetail;
arredio-do-gravatá;Limnoctites rectirostris;Straight-billed Reedhaunter;
arredio-do-rio;Cranioleuca vulpina;Rusty-backed Spinetail;
arredio-oliváceo;Cranioleuca obsoleta;Olive Spinetail;
arredio-pálido;Cranioleuca pallida;Pallid Spinetail;
asa-de-sabre-canela;Campylopterus hyperythrus;Rufous-breasted Sabrewing;
asa-de-sabre-da-guiana;Campylopterus largipennis;Gray-breasted Sabrewing;
asa-de-sabre-da-mata-seca;Campylopterus calcirupicola;Outcrop Sabrewing;
asa-de-sabre-de-cauda-escura;Campylopterus obscurus;Dusky Sabrewing;
asa-de-sabre-de-peito-camurça;Campylopterus duidae;Buff-breasted Sabrewing;
asa-de-sabre-do-espinhaço;Campylopterus diamantinensis;Diamantina Sabrewing;
asa-de-telha;Agelaioides badius;Grayish Baywing;
asa-de-telha-pálido;Agelaioides fringillarius;Pale Baywing;
assanhadinho;Myiobius barbatus;Whiskered Flycatcher;
assanhadinho-de-cauda-preta;Myiobius atricaudus;Black-tailed Flycatcher;
assobiador-do-castanhal;Vireolanius leucotis;Slaty-capped Shrike-Vireo;
atobá-australiano;Morus serrator;Australasian Gannet;
atobá-boreal;Morus bassanus;Northern Gannet;
atobá-de-pé-vermelho;Sula sula;Red-footed Booby;
atobá-do-cabo;Morus capensis;Cape Gannet;
atobá-grande;Sula dactylatra;Masked Booby;
atobá-pardo;Sula leucogaster;Brown Booby;
avoante;Zenaida auriculata;Eared Dove;
azulão;Cyanoloxia brissonii;Ultramarine Grosbeak;
azulão-da-amazônia;Cyanoloxia rothschildii;Rothschild's Blue Grosbeak;
azulinho;Cyanoloxia glaucocaerulea;Glaucous-blue Grosbeak;
azulona;Tinamus tao;Gray Tinamou;
bacurau;Nyctidromus albicollis;Common Pauraque;
bacurau-chintã;Hydropsalis parvula;Little Nightjar;
bacurau-chintã-do-norte;Hydropsalis heterura;Todd's Nightjar;
bacurau-da-praia;Chordeiles rupestris;Sand-colored Nighthawk;
bacurau-da-telha;Hydropsalis longirostris;Band-winged Nightjar;
bacurau-das-antilhas;Chordeiles gundlachii;Antillean Nighthawk;
bacurau-de-asa-fina;Chordeiles acutipennis;Lesser Nighthawk;
bacurau-de-cauda-barrada;Nyctiprogne leucopyga;Band-tailed Nighthawk;
bacurau-de-cauda-branca;Hydropsalis cayennensis;White-tailed Nightjar;
bacurau-de-lajeado;Nyctidromus nigrescens;Blackish Nightjar;
bacurau-de-rabo-branco;Hydropsalis candicans;White-winged Nightjar;
bacurau-de-rabo-maculado;Hydropsalis maculicaudus;Spot-tailed Nightjar;
bacurau-de-roraima;Hydropsalis roraimae;Tepui Nightjar;
bacurau-do-são-francisco;Nyctiprogne vielliardi;Bahian Nighthawk;
bacurau-dos-tepuis;Hydropsalis whitelyi;Roraiman Nightjar;
bacurau-norte-americano;Chordeiles minor;Common Nighthawk;
bacurau-ocelado;Nyctiphrynus ocellatus;Ocellated Poorwill;
